Trade_Num,Datetime,Timestamp,Block,Price,Lower,Upper,Holder_PNL,LP_PNL,IL,Fees,Fee-IL,AMM_PNL,Holder_PNL(%),LP_PNL(%),IL(%),Fees(%),Fee-IL(%),AMM_PNL(%)
,2022-03-18 10:00:00,1647568800.0,14407574.0,2780.8338986950407,2596.733401439426,2807.376370762246,-23.86067312095838,-57.28646276620566,33.42578964524728,109.24242658714618,75.8166369418989,51.955963820940525,-0.02386067312095838,-0.05728646276620566,0.03342578964524728,0.10924242658714618,0.0758166369418989,0.051955963820940525
10,2022-03-19 00:00:00,1647619200.0,14411331.0,2896.053118611266,2807.376370762246,2998.9045486470845,,,,,,,,,,,,
,2022-03-19 01:00:00,1647622800.0,14411618.0,2925.4499896037137,2807.376370762246,2998.9045486470845,562.9022942668526,480.7382955077919,82.16399875906063,57.23753923822372,-24.926459520836914,537.9758347460156,0.5629022942668526,0.4807382955077919,0.08216399875906064,0.057237539238223716,-0.024926459520836917,0.5379758347460156
11,2022-03-19 01:00:01,1647622801.0,14411619.0,2925.4499896037137,2596.733401439426,2998.9045486470845,,,,,,,,,,,,
,2022-03-19 06:00:00,1647640800.0,14412959.0,2951.896548212888,2596.733401439426,2998.9045486470845,167.39923373499187,136.8357204602944,30.56351327469747,72.77203978543393,42.20852651073646,209.60776024572834,0.16739923373499185,0.1368357204602944,0.03056351327469747,0.07277203978543394,0.04220852651073646,0.20960776024572836
12,2022-03-19 06:00:01,1647640801.0,14412960.0,2951.896548212888,2596.733401439426,3203.499390234706,,,,,,,,,,,,
,2022-03-19 16:00:00,1647676800.0,14415656.0,2932.1859311518383,2596.733401439426,3203.499390234706,-276.7636683596065,-288.33146876702085,11.567800407414325,55.48489032321038,43.917089915796055,-232.84657844381047,-0.27676366835960653,-0.28833146876702087,0.011567800407414324,0.055484890323210384,0.043917089915796056,-0.23284657844381046
13,2022-03-19 16:00:01,1647676801.0,14415657.0,2932.1859311518383,2807.376370762246,3203.499390234706,,,,,,,,,,,,
,2022-03-19 17:00:00,1647680400.0,14415843.0,2932.1859311518383,2807.376370762246,3203.499390234706,1.4551915228366852e-11,-8.731149137020111e-11,1.0186340659856796e-10,0.002659911260334794,0.0026599111584713875,0.0026599111730233028,1.4551915228366852e-14,-8.731149137020111e-14,1.0186340659856796e-13,2.659911260334794e-06,2.6599111584713876e-06,2.6599111730233026e-06
14,2022-03-19 17:00:01,1647680401.0,14415844.0,2932.1859311518383,2807.376370762246,2998.9045486470845,,,,,,,,,,,,
,2022-03-19 22:00:00,1647698400.0,14417180.0,2957.2144808110406,2807.376370762246,2998.9045486470845,307.8621646643878,249.3828100121027,58.47935465228511,87.45496104933525,28.975606397050143,336.83777106143793,0.3078621646643878,0.24938281001210272,0.05847935465228511,0.08745496104933526,0.02897560639705014,0.336837771061438
15,2022-03-20 09:00:00,1647738000.0,14420094.0,2942.4660476236786,2807.376370762246,2998.9045486470845,,,,,,,,,,,,
,2022-03-22 15:00:00,1647932400.0,14434615.0,2984.5450152274084,2807.376370762246,2998.9045486470845,437.60428014028,273.3012218451913,164.3030582950887,1611.9356631504238,1447.632604855335,1885.2368849956151,0.43760428014028,0.27330122184519134,0.1643030582950887,1.6119356631504238,1.4476326048553352,1.8852368849956151
16,2022-03-22 15:00:01,1647932401.0,14434616.0,2984.5450152274084,2807.376370762246,3203.499390234706,,,,,,,,,,,,
,2022-03-23 06:00:00,1647986400.0,14438679.0,3021.781903204733,2807.376370762246,3203.499390234706,719.6278892059781,655.4878855002025,64.1400037057756,137.1552363318604,73.01523262608481,792.6431218320629,0.7196278892059781,0.6554878855002025,0.06414000370577559,0.13715523633186041,0.07301523262608481,0.7926431218320629
17,2022-03-23 13:00:00,1648011600.0,14440541.0,2934.239077165327,2807.376370762246,2998.9045486470845,,,,,,,,,,,,
,2022-03-24 09:00:00,1648083600.0,14445918.0,3059.4833798611235,2807.376370762246,2998.9045486470845,1534.6803129183536,394.02988310769433,1140.6504298106593,501.1967244077308,-639.4537054029284,895.2266075154251,1.5346803129183535,0.3940298831076943,1.1406504298106592,0.5011967244077308,-0.6394537054029285,0.8952266075154252
18,2022-03-24 09:00:01,1648083601.0,14445919.0,3059.4833798611235,2807.376370762246,3203.499390234706,,,,,,,,,,,,
,2022-03-24 19:00:00,1648119600.0,14448543.0,3054.286936161774,2807.376370762246,3203.499390234706,-65.13906102534384,-66.35661192826228,1.2175509029184468,139.23229050454785,138.0147396016294,72.87567857628557,-0.06513906102534384,-0.06635661192826228,0.0012175509029184468,0.13923229050454786,0.1380147396016294,0.07287567857628556
19,2022-03-24 19:00:01,1648119601.0,14448544.0,3054.286936161774,2998.9045486470845,3203.499390234706,,,,,,,,,,,,
,2022-03-24 20:00:00,1648123200.0,14448721.0,3054.286936161774,2998.9045486470845,3203.499390234706,1.4551915228366852e-11,2.0372681319713593e-10,-1.8917489796876907e-10,0.011049,0.011049000189174898,0.011049000203726813,1.4551915228366852e-14,2.0372681319713593e-13,-1.8917489796876906e-13,1.1049e-05,1.1049000189174897e-05,1.1049000203726813e-05
20,2022-03-24 20:00:01,1648123201.0,14448722.0,3054.286936161774,2807.376370762246,3203.499390234706,,,,,,,,,,,,
,2022-03-24 22:00:00,1648130400.0,14449387.0,3025.4100365295762,2807.376370762246,3203.499390234706,-375.99728002336633,-413.88753501723113,37.8902549938648,44.03598077814764,6.145725784282838,-369.8515542390835,-0.37599728002336635,-0.41388753501723113,0.0378902549938648,0.04403598077814764,0.006145725784282838,-0.3698515542390835
21,2022-03-24 22:00:01,1648130401.0,14449388.0,3025.4100365295762,2998.9045486470845,3203.499390234706,,,,,,,,,,,,
,2022-03-27 23:00:00,1648393200.0,14468804.0,3152.0233554729944,2998.9045486470845,3203.499390234706,3948.701689585112,2513.237868853743,1435.4638207313692,1395.180432098438,-40.28338863293129,3908.4183009521807,3.948701689585112,2.513237868853743,1.4354638207313692,1.395180432098438,-0.040283388632931294,3.9084183009521807
22,2022-03-28 05:00:00,1648414800.0,14470538.0,3233.1060863014754,2998.9045486470845,3203.499390234706,,,,,,,,,,,,
,2022-03-28 07:00:00,1648422000.0,14470917.0,3278.029966001749,2998.9045486470845,3203.499390234706,0.0,-1.8917489796876907e-10,1.8917489796876907e-10,0.0,-1.8917489796876907e-10,-1.8917489796876907e-10,0.0,-1.8917489796876906e-13,1.8917489796876906e-13,0.0,-1.8917489796876906e-13,-1.8917489796876906e-13
23,2022-03-28 07:00:01,1648422001.0,14470918.0,3278.029966001749,2998.9045486470845,3401.582525304347,,,,,,,,,,,,
,2022-03-28 14:00:00,1648447200.0,14472874.0,3329.565589510555,2998.9045486470845,3401.582525304347,526.2450005592545,414.2781427615555,111.96685779769905,93.10751023640293,-18.85934756129612,507.38565299795846,0.5262450005592545,0.4142781427615555,0.11196685779769905,0.09310751023640293,-0.018859347561296116,0.5073856529979585
24,2022-03-28 14:00:01,1648447201.0,14472875.0,3329.565589510555,2998.9045486470845,3590.308285219262,,,,,,,,,,,,
,2022-03-28 23:00:00,1648479600.0,14475304.0,3386.98785120323,2998.9045486470845,3590.308285219262,823.1265407476603,728.0181016522838,95.10843909537653,79.20919453979465,-15.899244555581873,807.2272961920785,0.8231265407476603,0.7280181016522838,0.09510843909537653,0.07920919453979465,-0.015899244555581872,0.8072272961920784
25,2022-03-28 23:00:01,1648479601.0,14475305.0,3386.98785120323,3203.499390234706,3401.582525304347,,,,,,,,,,,,
,2022-03-29 08:00:01,1648512001.0,14477749.0,3330.897615533613,3203.499390234706,3401.582525304347,-137.24111588767846,-404.0292422354687,266.78812634779024,336.2614338834583,69.47330753566808,-67.76780835201038,-0.13724111588767846,-0.4040292422354687,0.26678812634779026,0.3362614338834583,0.06947330753566808,-0.06776780835201038
