Trade_Num,Datetime,Timestamp,Block,Price,Lower,Upper,Holder_PNL,LP_PNL,IL,Fees,Fee-IL,AMM_PNL,Holder_PNL(%),LP_PNL(%),IL(%),Fees(%),Fee-IL(%),AMM_PNL(%)
6,2021-09-08 15:58:42,1631087922.0,13183883.0,3268.2111026974626,2519.992110976476,4247.07144092621,,,,,,,,,,,,
,2021-09-09 00:54:21,1631120061.0,13186331.0,3484.2038654067323,2519.992110976476,4247.07144092621,3174.9217933457694,2761.227940000681,413.6938533450884,212.1021892770922,-201.59166406799622,2973.3301292777733,3.1749217933457694,2.761227940000681,0.4136938533450884,0.2121021892770922,-0.2015916640679962,2.973330129277773
7,2021-09-09 01:57:28,1631123848.0,13186611.0,3476.199804910504,2675.8116935287962,4536.820212376642,,,,,,,,,,,,
,2021-09-10 22:59:06,1631285946.0,13198695.0,3243.468078031666,2675.8116935287962,4536.820212376642,-3331.2538135003706,-3794.1539671408536,462.90015364048304,478.5226420096991,15.622488369216057,-3315.6313251311544,-3.3312538135003704,-3.7941539671408537,0.46290015364048304,0.47852264200969913,0.015622488369216057,-3.315631325131154
8,2021-09-10 23:53:32,1631289212.0,13198927.0,3301.055519927756,2550.4126535343753,4298.340735362641,,,,,,,,,,,,
,2021-09-15 23:45:52,1631720752.0,13231209.0,3500.967406110931,2550.4126535343753,4298.340735362641,2919.6279805506347,2572.582474246781,347.0455063038535,1007.9896554876408,660.9441491837873,3580.572129734422,2.9196279805506347,2.572582474246781,0.34704550630385345,1.0079896554876409,0.6609441491837874,3.5805721297344224
9,2021-09-16 00:42:10,1631724130.0,13231459.0,3518.8670502117393,2708.113240484186,4591.587261744374,,,,,,,,,,,,
,2021-09-19 19:59:59,1632052799.0,13256017.0,3325.240182634532,2708.113240484186,4591.587261744374,-2743.331701865245,-3054.9052956540254,311.5735937887803,496.9030209568668,185.3294271680865,-2558.0022746971586,-2.743331701865245,-3.0549052956540255,0.31157359378878025,0.4969030209568667,0.1853294271680865,-2.5580022746971585
10,2021-09-19 20:42:32,1632055352.0,13256196.0,3334.563435454096,2550.4126535343753,4324.207007704887,,,,,,,,,,,,
,2021-09-20 15:59:11,1632124751.0,13261402.0,3126.596355985394,2550.4126535343753,4324.207007704887,-2962.9465982270485,-3354.3704300067184,391.42383177966985,150.459868273491,-240.96396350617886,-3203.9105617332275,-2.9629465982270484,-3.3543704300067185,0.39142383177966983,0.150459868273491,-0.24096396350617885,-3.203910561733227
11,2021-09-20 16:59:53,1632128393.0,13261681.0,3165.605557610476,2430.8903048144384,4096.9036151471455,,,,,,,,,,,,
